09/19 18:30更新,#genre#
KOREA,http://37.27.111.214:8080/live/52/hls.m3u8
LIFETIME,http://37.27.111.214:8080/live/71/hls.m3u8
LOVENATURE,http://37.27.111.214:8080/live/84/hls.m3u8
LUXE,http://37.27.111.214:8080/live/86/hls.m3u8
MCE,http://37.27.111.214:8080/live/98/hls.m3u8
MTV,http://37.27.111.214:8080/live/25/hls.m3u8
Nickelodeon,http://37.27.111.214:8080/live/12/hls.m3u8
PETCLUB,http://37.27.111.214:8080/live/81/hls.m3u8
ROCK,http://37.27.111.214:8080/live/70/hls.m3u8
ROCKACTION,http://37.27.111.214:8080/live/94/hls.m3u8
TECHSTORM,http://37.27.111.214:8080/live/80/hls.m3u8
TV5MONDE,http://37.27.111.214:8080/live/9/hls.m3u8
TVBS欢乐台,http://37.27.111.214:8080/live/24/hls.m3u8
TVBS,http://37.27.111.214:8080/live/23/hls.m3u8
TiTV,http://37.27.111.214:8080/live/2/hls.m3u8
VOA,http://37.27.111.214:8080/live/45/hls.m3u8
博斯高球1,http://37.27.111.214:8080/live/13/hls.m3u8
博斯网球,http://37.27.111.214:8080/live/16/hls.m3u8
博斯无限,http://37.27.111.214:8080/live/15/hls.m3u8
博斯运动1,http://37.27.111.214:8080/live/14/hls.m3u8
超人,http://37.27.111.214:8080/live/110/hls.m3u8
动画台,http://37.27.111.214:8080/live/57/hls.m3u8
动漫,http://37.27.111.214:8080/live/105/hls.m3u8
动漫2,http://37.27.111.214:8080/live/106/hls.m3u8
东森新闻,http://37.27.111.214:8080/live/20/hls.m3u8
哆啦A梦,http://37.27.111.214:8080/live/107/hls.m3u8
elta生活旅游,http://37.27.111.214:8080/live/85/hls.m3u8
公视戏剧,http://37.27.111.214:8080/live/87/hls.m3u8
hokkotv,http://37.27.111.214:8080/live/1/hls.m3u8
互动英语,http://37.27.111.214:8080/live/54/hls.m3u8
华视新闻,http://37.27.111.214:8080/live/8/hls.m3u8
寰宇财经,http://37.27.111.214:8080/live/65/hls.m3u8
寰宇台湾,http://37.27.111.214:8080/live/63/hls.m3u8
镜新闻,http://37.27.111.214:8080/live/62/hls.m3u8
龙华电影,http://37.27.111.214:8080/live/19/hls.m3u8
龙华日韩,http://37.27.111.214:8080/live/42/hls.m3u8
龙华戏剧,http://37.27.111.214:8080/live/41/hls.m3u8
旅游,http://37.27.111.214:8080/live/82/hls.m3u8
民视,http://37.27.111.214:8080/live/6/hls.m3u8
民视第一,http://37.27.111.214:8080/live/4/hls.m3u8
民视台湾,http://37.27.111.214:8080/live/5/hls.m3u8
momo,http://37.27.111.214:8080/live/3/hls.m3u8
nickjr,http://37.27.111.214:8080/live/22/hls.m3u8
全球财经,http://37.27.111.214:8080/live/64/hls.m3u8
人间卫视,http://37.27.111.214:8080/live/101/hls.m3u8
探案台,http://37.27.111.214:8080/live/11/hls.m3u8
幸福空间,http://37.27.111.214:8080/live/26/hls.m3u8
亚洲旅游,http://37.27.111.214:8080/live/10/hls.m3u8
影剧,http://37.27.111.214:8080/live/88/hls.m3u8
影迷,http://37.27.111.214:8080/live/92/hls.m3u8
影视2,http://37.27.111.214:8080/live/109/hls.m3u8
影视3,http://37.27.111.214:8080/live/111/hls.m3u8
智林体育,http://37.27.111.214:8080/live/77/hls.m3u8
中视,http://37.27.111.214:8080/live/7/hls.m3u8
中视经典,http://37.27.111.214:8080/live/47/hls.m3u8
中视青采,http://37.27.111.214:8080/live/48/hls.m3u8
猪哥亮,http://37.27.111.214:8080/live/35/hls.m3u8
综艺,http://37.27.111.214:8080/live/67/hls.m3u8

E1,#genre#
BLOOMBERG,http://shuma004.chunfengyun.top:8080/live/34/hls.m3u8
CINEMAWOR,http://shuma004.chunfengyun.top:8080/live/30/hls.m3u8
CNBC,http://shuma004.chunfengyun.top:8080/live/102/hls.m3u8
DWNEWS,http://shuma004.chunfengyun.top:8080/live/46/hls.m3u8
ELTV生活,http://shuma004.chunfengyun.top:8080/live/56/hls.m3u8
FESTIVAL,http://shuma004.chunfengyun.top:8080/live/83/hls.m3u8
GOOD2,http://shuma004.chunfengyun.top:8080/live/99/hls.m3u8
HISTORY,http://shuma004.chunfengyun.top:8080/live/27/hls.m3u8
HITS,http://shuma004.chunfengyun.top:8080/live/28/hls.m3u8
HakkaTV,http://shuma004.chunfengyun.top:8080/live/1/hls.m3u8
KOREA,http://shuma004.chunfengyun.top:8080/live/52/hls.m3u8
LIFETIME,http://shuma004.chunfengyun.top:8080/live/71/hls.m3u8
LOVENATURE,http://shuma004.chunfengyun.top:8080/live/84/hls.m3u8
LUXE,http://shuma004.chunfengyun.top:8080/live/86/hls.m3u8
MCE,http://shuma004.chunfengyun.top:8080/live/98/hls.m3u8
MTV,http://shuma004.chunfengyun.top:8080/live/25/hls.m3u8
Nickelodeon,http://shuma004.chunfengyun.top:8080/live/12/hls.m3u8
PETCLUB,http://shuma004.chunfengyun.top:8080/live/81/hls.m3u8
ROCK,http://shuma004.chunfengyun.top:8080/live/70/hls.m3u8
ROCKACTION,http://shuma004.chunfengyun.top:8080/live/94/hls.m3u8
TECHSTORM,http://shuma004.chunfengyun.top:8080/live/80/hls.m3u8
TV5MONDE,http://shuma004.chunfengyun.top:8080/live/9/hls.m3u8
TVBS,http://shuma004.chunfengyun.top:8080/live/23/hls.m3u8
TiTV,http://shuma004.chunfengyun.top:8080/live/2/hls.m3u8
VOA,http://shuma004.chunfengyun.top:8080/live/45/hls.m3u8
博斯网球,http://shuma004.chunfengyun.top:8080/live/16/hls.m3u8
博斯无限,http://shuma004.chunfengyun.top:8080/live/15/hls.m3u8
博斯运动1,http://shuma004.chunfengyun.top:8080/live/14/hls.m3u8
超人,http://shuma004.chunfengyun.top:8080/live/110/hls.m3u8
动画台,http://shuma004.chunfengyun.top:8080/live/57/hls.m3u8
动漫,http://shuma004.chunfengyun.top:8080/live/105/hls.m3u8
动漫2,http://shuma004.chunfengyun.top:8080/live/106/hls.m3u8
东森新闻,http://shuma004.chunfengyun.top:8080/live/20/hls.m3u8
哆啦A梦,http://shuma004.chunfengyun.top:8080/live/107/hls.m3u8
公视戏剧,http://shuma004.chunfengyun.top:8080/live/87/hls.m3u8
互动英语,http://shuma004.chunfengyun.top:8080/live/54/hls.m3u8
华视新闻,http://shuma004.chunfengyun.top:8080/live/8/hls.m3u8
寰宇财经,http://shuma004.chunfengyun.top:8080/live/65/hls.m3u8
寰宇台湾,http://shuma004.chunfengyun.top:8080/live/63/hls.m3u8
镜新闻,http://shuma004.chunfengyun.top:8080/live/62/hls.m3u8
龙华日韩,http://shuma004.chunfengyun.top:8080/live/42/hls.m3u8
龙华戏剧,http://shuma004.chunfengyun.top:8080/live/41/hls.m3u8
旅游,http://shuma004.chunfengyun.top:8080/live/82/hls.m3u8
民视,http://shuma004.chunfengyun.top:8080/live/6/hls.m3u8
momo,http://shuma004.chunfengyun.top:8080/live/3/hls.m3u8
全球财经,http://shuma004.chunfengyun.top:8080/live/64/hls.m3u8
人间卫视,http://shuma004.chunfengyun.top:8080/live/101/hls.m3u8
探案台,http://shuma004.chunfengyun.top:8080/live/11/hls.m3u8
幸福空间,http://shuma004.chunfengyun.top:8080/live/26/hls.m3u8
影剧,http://shuma004.chunfengyun.top:8080/live/88/hls.m3u8
影迷,http://shuma004.chunfengyun.top:8080/live/92/hls.m3u8
影视2,http://shuma004.chunfengyun.top:8080/live/109/hls.m3u8
影视3,http://shuma004.chunfengyun.top:8080/live/111/hls.m3u8
智林体育,http://shuma004.chunfengyun.top:8080/live/77/hls.m3u8
中视,http://shuma004.chunfengyun.top:8080/live/7/hls.m3u8
中视经典,http://shuma004.chunfengyun.top:8080/live/47/hls.m3u8
中视青采,http://shuma004.chunfengyun.top:8080/live/48/hls.m3u8
猪哥亮,http://shuma004.chunfengyun.top:8080/live/35/hls.m3u8
综艺,http://shuma004.chunfengyun.top:8080/live/67/hls.m3u8

